fk_rede,rede,data,nome_dia,volume_total_usd,total_trades
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-13,Terça-feira,43741615.33565112,2769
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-22,Quinta-feira,45112590.03171834,2638
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-27,Terça-feira,31881736.968852166,826
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-26,Segunda-feira,20159077.64996911,562
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-06-16,Segunda-feira,305488404.9882117,237540
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-06-17,Terça-feira,215952913.97392374,218328
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-13,Terça-feira,27873.8383418362,4
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-22,Quinta-feira,26963.53675417669,4
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-27,Terça-feira,341928.2304566448,670
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-26,Segunda-feira,229345.95407121835,764
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-16,Segunda-feira,93250.71281358003,114
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-17,Terça-feira,46809.516437687606,128
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-13,Terça-feira,2.5918254751030503E20,73918
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-22,Quinta-feira,5.0804667427712316E20,69138
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-27,Terça-feira,2277825328.722482,31762
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-26,Segunda-feira,1.488511540141547E20,22378
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-06-16,Segunda-feira,1.3563471771075407E22,416
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-13,Terça-feira,19664.661711427245,2
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-27,Terça-feira,340681.393289092,1022
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-26,Segunda-feira,4128714.409674787,17220
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-16,Segunda-feira,6119835.932756021,10566
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-17,Terça-feira,3605972.700427898,7964
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-13,Terça-feira,1.63845537852850976E17,5278
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-22,Quinta-feira,2.53364358483216608E17,5114
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-27,Terça-feira,2.24936644708119552E17,80092
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-26,Segunda-feira,7.6588397714529088E17,64412
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-16,Segunda-feira,565320534262.7439,35770
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-17,Terça-feira,1.58932564097066304E17,31056
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-06-01,Domingo,87968067.31772488,12856
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-20,Terça-feira,167460092.1849807,8884
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-19,Segunda-feira,204196926.25902045,5700
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-21,Quarta-feira,85808104.88129033,4283
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-18,Domingo,70386642.16197206,3402
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-17,Sábado,36502370.227498256,2076
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-08,Quinta-feira,24467686.662488583,728
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-01,Domingo,145583.88966071312,314
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-20,Terça-feira,28680.571013854373,4
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-21,Quarta-feira,67460.06987694697,6
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-17,Sábado,25070.239643536635,4
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-08,Quinta-feira,42847.48473613767,2
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-06-01,Domingo,2.496674792324167E19,17914
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-20,Terça-feira,2.394652690563606E20,32000
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-19,Segunda-feira,7.192396465704076E19,38020
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-21,Quarta-feira,2.965589404807446E20,39256
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-18,Domingo,2.7098770061337985E20,29132
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-17,Sábado,2.9069225070987156E20,21962
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-08,Quinta-feira,1.964720519726772E20,41468
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-01,Domingo,505665.6505688792,1042
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-01,Domingo,1.74524586006727968E17,11728
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-20,Terça-feira,6.2536176689004531E17,2022
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-19,Segunda-feira,20269699.121514935,1212
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-21,Quarta-feira,5.734673955372343E17,2555
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-18,Domingo,32940238.924903315,2291
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-17,Sábado,9.821667804637616E16,1601
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-08,Quinta-feira,1.3631145527271792E17,958
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-07,Quarta-feira,18690614.6398511,524
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-05,Segunda-feira,16368545.711023297,632
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-04,Domingo,7576522.449734194,270
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-06-08,Domingo,60009627.64997911,13338
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-06,Terça-feira,21895426.70335148,580
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-25,Domingo,3183150.950674487,44
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-24,Sábado,11701203.826049855,424
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-08,Domingo,43902.72831698392,46
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-25,Domingo,462276.2201193822,968
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-24,Sábado,38562.37366425608,248
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-07,Quarta-feira,4.682902866170941E19,21928
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-05,Segunda-feira,1.846921604727789E19,20806
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-04,Domingo,3.6208566350419018E19,14386
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-06,Terça-feira,1.1631359144110373E19,21932
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-08,Domingo,375914.5356687551,910
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-25,Domingo,28413421.76912175,112426
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-24,Sábado,29053278.4713443,129946
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-07,Quarta-feira,27477153.988969002,1022
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-05,Segunda-feira,6.568399462734496E16,1144
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-04,Domingo,8889856.165638482,434
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-08,Domingo,103450152.50090235,30276
